ano,sequencial_candidato,nome,uf,partido,quantidade_doacoes,quantidade_doadores,total_receita,media_receita,recursos_de_outros_candidatos.comites,recursos_de_pessoas_fisicas,recursos_de_pessoas_juridicas,recursos_proprios,recursos_de_partido_politico,quantidade_despesas,quantidade_fornecedores,total_despesa,media_despesa,cargo,sexo,grau,estado_civil,ocupacao,votos,total
2006,10001,JOS<c3><89> LUIZ NOGUEIRA DE SOUSA,AP,PT,6,6,16600,2766.67,0,9e3,6300,1300,0,14,14,16583.6,1184.54,DEPUTADO FEDERAL,MASCULINO,ENSINO M<c3><89>DIO COMPLETO,CASADO(A),VEREADOR,8579,53774.81
2006,10002,LOIVA DE OLIVEIRA,RO,PT,13,13,22826,1755.85,6625,15e3,1e3,201,0,24,23,20325.99,846.92,DEPUTADO FEDERAL,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),SERVIDOR P<c3><9a>BLICO ESTADUAL,2757,68653.76000000001
2006,10002,MARIA DALVA DE SOUZA FIGUEIREDO,AP,PT,17,16,158120.8,9301.22,2250,34150,62220.8,59500,0,123,108,146011.7,1187.09,DEPUTADO FEDERAL,FEMININO,SUPERIOR COMPLETO,VI<c3><9a>VO(A),PEDAGOGO,17428,473005.61
2006,10002,ROMALDO MILANI,MS,PRONA,6,6,3001.12,500.19,0,1150,1101.12,750,0,8,8,3001.12,375.14,DEPUTADO FEDERAL,MASCULINO,ENSINO M<c3><89>DIO INCOMPLETO,CASADO(A),MILITAR REFORMADO,1193,9906.689999999999
2006,10003,ANSELMO DE JESUS ABREU,RO,PT,48,48,119820,2496.25,0,50878,0,68942,0,133,120,116416.64,875.31,DEPUTADO FEDERAL,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),DEPUTADO,29401,359777.2
2006,10003,JOS<c3><89> RODRIGUES DOS SANTOS NETO,PI,PCO,6,6,1771.21,295.2,0,0,0,1771.21,0,9,9,1771.21,196.8,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),SERVIDOR P<c3><9a>BLICO FEDERAL,1822,5835.63
2006,10003,JOS<c3><89> TOMAZ DA SILVA,MS,PRONA,14,7,1231,87.93,0,1231,0,0,0,17,10,696.91,40.99,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),M<c3><89>DICO,317,3335.83
2006,10003,LUIZ CARLOS MUNHOZ MEIRA,MG,PPS,2,2,7e4,35e3,0,0,0,7e4,0,332,278,66016.95,198.85,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),SERVIDOR P<c3><9a>BLICO FEDERAL,2591,241829.8
2006,10003,TADEU DE ALENCAR RIBEIRO,DF,PAN,5,3,11570,2314,0,0,0,0,11570,51,33,7570,148.43,DEPUTADO FEDERAL,MASCULINO,ENSINO M<c3><89>DIO COMPLETO,SOLTEIRO(A),APOSENTADO (EXCETO SERVIDOR P<c3><9a>BLICO),113,33264.43
2006,10004,EDILSON VEIRA ROCHA,AP,PT,2,2,6065,3032.5,6065,0,0,0,0,10,10,6060.42,606.04,DEPUTADO FEDERAL,MASCULINO,ENSINO M<c3><89>DIO COMPLETO,CASADO(A),"FEIRANTE, AMBULANTE E MASCATE",2551,21852.96
2006,10004,EDUARDO VALVERDE ARA<c3><9a>JO ALVES,RO,PT,68,65,111218.2,1635.56,9575,59143.2,26e3,16500,0,68,67,110818.2,1629.68,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),DEPUTADO,34631,336787.84
2006,10004,IRINEU RODRIGUES,PR,PPS,13,13,27745.5,2134.27,1375.5,4500,12500,9370,0,52,49,27682.1,532.35,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),DEPUTADO,26856,85966.72
2006,10004,TARCISIO JO<c3><83>O ZIMERMMANN,RS,PT,61,54,240740.7,3946.57,6295.1,42948,176497.6,15e3,0,181,153,184442.87,1019.02,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),DEPUTADO,106659,671338.86
2006,10004,WILLIAN GOMES EUGENIO,MG,PPS,24,23,21322.45,888.44,0,3690,2233.45,11897,3502,61,38,18593.65,304.81,DEPUTADO FEDERAL,MASCULINO,ENSINO M<c3><89>DIO COMPLETO,CASADO(A),GERENTE,1859,62577.8
2006,10005,AMAURI GUEDES DE FREITAS,RO,PT,13,13,17035,1310.38,1125,13350,0,2560,0,44,41,16035.22,364.44,DEPUTADO FEDERAL,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),OUTROS,3752,51891.04
2006,10005,ELIAS RAMOS SOARES,MG,PPS,4,4,13378.5,3344.62,3378.5,0,1e4,0,0,28,22,13195.24,471.26,DEPUTADO FEDERAL,MASCULINO,ENSINO M<c3><89>DIO COMPLETO,CASADO(A),APOSENTADO (EXCETO SERVIDOR P<c3><9a>BLICO),8346,43826.119999999995
2006,10005,FRANCISCO ALVES DA CRUZ FILHO,MA,PSTU,1,1,500,500,0,500,0,0,0,1,1,500,500,DEPUTADO FEDERAL,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),OUTROS,4621,2504
2006,10005,GILBERTO JOS<c3><89> SPIER VARGAS,RS,PT,67,64,207876.7,3102.64,1628.25,16098.45,190150,0,0,330,252,170327.15,516.14,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),M<c3><89>DICO,124686,590412.3300000001
2006,10005,GLAYDSTON LIRA GOES,PB,PSDC,2,2,185,92.5,185,0,0,0,0,2,2,185,92.5,DEPUTADO FEDERAL,MASCULINO,ENSINO M<c3><89>DIO COMPLETO,SOLTEIRO(A),COMERCIANTE,609,748
2006,10005,ISAAC SILVA GOMES,AP,PT,1,1,3815,3815,3815,0,0,0,0,13,13,3812.42,293.26,DEPUTADO FEDERAL,MASCULINO,ENSINO M<c3><89>DIO COMPLETO,SOLTEIRO(A),VIGILANTE,88,15578.68
2006,10005,IVETE MARIA RIBEIRO,MS,PRONA,4,4,34e3,8500,0,9e3,25e3,0,0,70,70,33999.84,485.71,DEPUTADO FEDERAL,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),ADVOGADO,4959,111133.54999999999
2006,10005,PAULO HENRIQUE COSTA MATTOS,TO,PSOL,29,27,9747.35,336.12,1558.34,3759.01,0,4430,0,47,44,9216.96,196.11,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PROFESSOR DE ENSINO SUPERIOR,1298,29390.89
2006,10005,REJANE HALUANE CHAVES,SP,PRONA,6,6,1879.42,313.24,0,0,0,1879.42,0,22,16,1818.69,82.67,DEPUTADO FEDERAL,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),ADVOGADO,1220,6023.4400000000005
